video_id,youtube_id,transcript_length,transcript_word_count,transcript_sentence_count,openai_flagship_opinion_news,openai_flagship_nuance,openai_flagship_order_creativity,openai_flagship_prevention_promotion,openai_flagship_compassion_contempt,gemini_flagship_opinion_news,gemini_flagship_nuance,gemini_flagship_order_creativity,gemini_flagship_prevention_promotion,gemini_flagship_compassion_contempt
16flQJS8eUc,16flQJS8eUc,447,56,5,3,3,3,3,3,2,2,1,2,3
1VygFuCmmaM,1VygFuCmmaM,797,106,1,3,3,4,3,4,4,3,4,3,4
2wMqzvqRMQo,2wMqzvqRMQo,710,88,1,3,3,4,4,5,4,3,5,4,5
3tmT7-dhOWs,3tmT7-dhOWs,650,87,1,3,3,2,2,3,2,2,1,1,2
3zii1PAsTY0,3zii1PAsTY0,1449,174,1,3,3,3,3,3,2,3,2,2,3
5o-q5t2jjao,5o-q5t2jjao,8048,1300,89,4,4,3,3,5,5,4,3,4,4
6JqlNbeAWGw,6JqlNbeAWGw,394,38,5,4,2,3,2,3,5,3,2,2,3
6i4V6wN-Mfg,6i4V6wN-Mfg,287,32,1,3,3,3,3,3,4,3,1,1,3
8EDW88CBo-8,8EDW88CBo-8,4435,787,38,1,1,2,2,1,1,1,1,1,1
AanhYLB6kCk,AanhYLB6kCk,1846,336,13,2,3,5,5,4,1,3,5,5,4
AnQU3Sr2iXY,AnQU3Sr2iXY,2647,314,1,2,2,2,3,3,2,2,2,4,2
Ar2g-_M2bns,Ar2g-_M2bns,522,58,5,3,3,3,3,4,5,3,2,1,4
Azs7As3MYFU,Azs7As3MYFU,1089,130,1,3,3,3,3,3,2,3,2,1,3
C5S8rhNCBnc,C5S8rhNCBnc,6938,1175,83,1,2,2,2,2,1,2,2,1,1
Cz2m3nTgJeg,Cz2m3nTgJeg,605,68,1,3,3,3,3,3,4,3,2,2,3
E0uLbeQlwjw,E0uLbeQlwjw,7665,1304,74,4,4,3,3,4,5,5,2,2,4
F1H1SA0F_wY,F1H1SA0F_wY,513,60,1,2,2,3,3,3,4,3,1,1,2
F2E-Z_ZnqOc,F2E-Z_ZnqOc,899,107,1,3,3,3,2,4,4,4,4,2,5
F_Z5Rx-XiE8,F_Z5Rx-XiE8,952,106,1,3,3,4,3,4,2,4,4,3,4
G4H1N_yXBiA,G4H1N_yXBiA,605,63,1,4,2,4,3,4,5,3,3,2,3
MrFDYd2oRgs,MrFDYd2oRgs,6920,1103,120,5,5,2,3,4,5,4,1,1,4
P2yNE-N-OCI,P2yNE-N-OCI,2445,267,12,4,2,2,2,3,5,4,2,2,3
VqR021m9OTs,VqR021m9OTs,1288,153,1,3,3,3,2,3,2,4,2,1,3
W3V1oswZM-o,W3V1oswZM-o,2621,321,30,1,2,5,3,2,1,1,4,2,1
WD0VoR-4sZs,WD0VoR-4sZs,90,14,1,3,1,3,3,2,1,1,2,2,1
WSU9kao1dh8,WSU9kao1dh8,1315,246,19,2,4,5,4,5,1,4,5,4,5
X-G2pR0rux8,X-G2pR0rux8,982,110,17,3,2,3,2,3,2,3,1,1,3
Y6Ogw_8zrL8,Y6Ogw_8zrL8,820,98,1,3,3,3,3,3,2,3,2,3,3
ZrfuX453X7A,ZrfuX453X7A,870,114,2,3,3,4,4,4,3,3,4,3,4
aLgpoNPUApw,aLgpoNPUApw,583,62,3,4,3,2,3,3,4,3,2,3,3
adR_qUwFFXM,adR_qUwFFXM,449,54,1,3,3,2,2,3,4,3,2,1,4
csyLkutTJ0A,csyLkutTJ0A,604,80,1,3,3,4,4,4,2,3,4,4,5
e4in-hK8-BU,e4in-hK8-BU,693,85,1,3,3,4,4,4,2,3,4,4,3
fDILpuiLuAI,fDILpuiLuAI,1880,228,1,3,3,4,4,4,2,3,5,4,3
foD-MwTxqGk,foD-MwTxqGk,2028,226,23,1,2,4,3,3,1,2,2,1,2
h2RiVX-iVus,h2RiVX-iVus,7775,1400,83,2,3,2,2,3,2,3,1,1,2
h9gB3wgXKsU,h9gB3wgXKsU,1135,124,7,3,3,3,3,3,3,3,2,1,3
jOKqYtRDGak,jOKqYtRDGak,860,101,1,3,2,3,2,3,4,3,2,1,3
kFeOTDAMjG8,kFeOTDAMjG8,686,74,16,3,3,2,2,3,2,1,1,1,1
mXjlEqlPkAI,mXjlEqlPkAI,7911,1399,88,2,4,5,4,5,2,4,5,4,5
mgxDfCTIgJQ,mgxDfCTIgJQ,361,45,1,3,3,3,3,3,3,3,4,4,3
sikEBPEa8WY,sikEBPEa8WY,1677,205,1,2,1,2,2,1,1,1,1,1,1
uDCqPyM0ehA,uDCqPyM0ehA,586,72,5,3,3,3,3,3,3,1,1,1,2
ulJmroCy7g8,ulJmroCy7g8,1693,201,1,2,2,3,2,2,1,2,2,1,2
y0C5bARtqcA,y0C5bARtqcA,688,81,1,3,3,3,3,3,2,3,4,4,3
y0pdqgQjaPQ,y0pdqgQjaPQ,2090,236,20,2,2,2,2,1,2,1,1,1,2
y6v1pOAXP70,y6v1pOAXP70,3152,435,39,4,3,4,4,4,4,3,5,5,4
ykFNkOrPKKM,ykFNkOrPKKM,576,74,2,3,3,3,3,3,3,3,2,2,3
