video_id,youtube_id,transcript_length,openai_no_roberta_opinion_news,openai_no_roberta_nuance,openai_no_roberta_order_creativity,openai_no_roberta_prevention_promotion,openai_no_roberta_compassion_contempt,openai_with_roberta_opinion_news,openai_with_roberta_nuance,openai_with_roberta_order_creativity,openai_with_roberta_prevention_promotion,openai_with_roberta_compassion_contempt,gemini_no_roberta_opinion_news,gemini_no_roberta_nuance,gemini_no_roberta_order_creativity,gemini_no_roberta_prevention_promotion,gemini_no_roberta_compassion_contempt,gemini_with_roberta_opinion_news,gemini_with_roberta_nuance,gemini_with_roberta_order_creativity,gemini_with_roberta_prevention_promotion,gemini_with_roberta_compassion_contempt,roberta_plain_compassion_contempt,roberta_valence_compassion_contempt
-xSSoIOxP3E,-xSSoIOxP3E,2895,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,5.0,4.0,1.0,1.0,4.0,3.4996,2.9914
16flQJS8eUc,16flQJS8eUc,447,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.5857,3.3139
1VygFuCmmaM,1VygFuCmmaM,797,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.5058,2.9954
2wMqzvqRMQo,2wMqzvqRMQo,710,5.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.498,2.9811
3tmT7-dhOWs,3tmT7-dhOWs,650,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.3319,2.7078
3zii1PAsTY0,3zii1PAsTY0,1449,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.5046,3.0003
5o-q5t2jjao,5o-q5t2jjao,8048,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.5221,2.9986
6JqlNbeAWGw,6JqlNbeAWGw,394,4.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,1.0,1.0,3.0,5.0,4.0,2.0,2.0,3.0,3.497,2.9677
6i4V6wN-Mfg,6i4V6wN-Mfg,287,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,3.4861,2.8912
8EDW88CBo-8,8EDW88CBo-8,4435,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.5814,3.1579
AanhYLB6kCk,AanhYLB6kCk,1846,4.0,3.0,5.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,3.727,3.6105
AnQU3Sr2iXY,AnQU3Sr2iXY,2647,1.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,3.5081,3.0379
Ar2g-_M2bns,Ar2g-_M2bns,522,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,4.0,3.5033,3.0005
